84.8;0.2;3540;2021-04-26 00:24:11
81.7;0.5;3540;2021-04-26 00:54:11
82.6;0.2;3540;2021-04-26 01:54:10
71.1;1;3510;2021-04-26 05:54:09
67.6;1.3;3540;2021-04-26 06:24:09
56.5;4.1;3510;2021-04-26 07:24:09
44.9;6.3;3540;2021-04-26 08:24:09
42.2;8.7;3540;2021-04-26 09:54:08
41.2;9.5;3540;2021-04-26 10:54:08
40;9.6;3540;2021-04-26 11:54:08
38;9.9;3540;2021-04-26 12:24:07
37.4;10.7;3540;2021-04-26 13:24:07
36.7;12.1;3540;2021-04-26 13:54:07
36.7;12.9;3570;2021-04-26 16:24:06
27.7;18.2;3570;2021-04-26 17:54:06
27.6;17.6;3570;2021-04-26 18:24:06
41.4;9.5;3570;2021-04-26 19:24:05
52.4;6.5;3570;2021-04-26 19:54:05
62.6;4.5;3570;2021-04-26 20:24:05
73.6;3.5;3540;2021-04-26 21:54:05
74.2;3.4;3540;2021-04-26 22:24:04
