56;9.5;3510;2021-03-27 00:29:31
55.5;9.4;3510;2021-03-27 00:59:31
56.1;9;3510;2021-03-27 01:29:31
55.5;9.1;3510;2021-03-27 01:59:31
55.2;8.8;3510;2021-03-27 02:29:31
55;8.8;3510;2021-03-27 02:59:30
53.9;9;3510;2021-03-27 03:29:30
55;8.9;3510;2021-03-27 03:59:30
56.2;8.6;3510;2021-03-27 04:29:30
56.6;8.6;3510;2021-03-27 04:59:30
56.1;8.9;3510;2021-03-27 05:29:30
55.7;9;3510;2021-03-27 05:59:29
54.7;9.4;3510;2021-03-27 06:29:29
54;9.9;3510;2021-03-27 06:59:29
52.1;10.5;3510;2021-03-27 07:29:29
50;11.4;3510;2021-03-27 07:59:29
47.8;12.2;3510;2021-03-27 08:29:29
47.7;12.7;3510;2021-03-27 08:59:28
45.7;13.9;3510;2021-03-27 09:29:28
44.6;14.4;3510;2021-03-27 09:59:28
44.8;15.1;3510;2021-03-27 10:29:28
45.2;15;3510;2021-03-27 10:59:28
45;15;3510;2021-03-27 11:29:28
42.6;15.8;3510;2021-03-27 11:59:27
38.6;16;3510;2021-03-27 12:29:27
39.6;16.5;3510;2021-03-27 12:59:27
41.3;16.1;3540;2021-03-27 13:29:27
47.3;15.5;3510;2021-03-27 13:59:27
51.3;15;3510;2021-03-27 14:29:27
56.4;12.8;3540;2021-03-27 14:59:26
81.2;9.1;3510;2021-03-27 15:29:26
79.8;8.6;3510;2021-03-27 15:59:26
77.1;8.5;3510;2021-03-27 16:29:26
78.5;8.6;3510;2021-03-27 16:59:26
79.5;8.7;3510;2021-03-27 17:29:26
80.4;8.4;3510;2021-03-27 17:59:25
83.1;8;3510;2021-03-27 18:29:25
82.3;7.8;3510;2021-03-27 18:59:25
64.6;8;3510;2021-03-27 19:29:25
65;7.9;3510;2021-03-27 19:59:25
61.6;7.8;3510;2021-03-27 20:29:25
60.7;7.7;3510;2021-03-27 20:59:25
69;6.6;3510;2021-03-27 21:29:24
74.6;5.5;3510;2021-03-27 21:59:24
77.8;4.8;3510;2021-03-27 22:29:24
70;4.4;3480;2021-03-27 22:59:24
67.1;4.2;3480;2021-03-27 23:29:24
67.5;4.4;3480;2021-03-27 23:59:24
